rank,sample_id,total_pixels,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10
75,0038014,65536,0,0,5,65531,0,0,0,0,0,0,0
76,0045386,65536,0,0,65536,0,0,0,0,0,0,0,0
77,0110926,65536,4,65532,0,0,0,0,0,0,0,0,0
78,0045413,65536,65536,0,0,0,0,0,0,0,0,0,0
79,0106129,65536,0,0,0,65528,8,0,0,0,0,0,0
80,0045459,65536,0,0,65536,0,0,0,0,0,0,0,0
81,0045414,65536,65536,0,0,0,0,0,0,0,0,0,0
82,0000015,65536,0,0,0,0,0,0,0,65536,0,0,0
83,0045475,65536,0,0,65536,0,0,0,0,0,0,0,0
84,0045429,65536,65536,0,0,0,0,0,0,0,0,0,0
85,0081034,65536,6,65530,0,0,0,0,0,0,0,0,0
86,0094854,65536,0,8,4,65524,0,0,0,0,0,0,0
87,0159139,65536,26,0,9,0,65440,61,0,0,0,0,0
88,0045430,65536,65536,0,0,0,0,0,0,0,0,0,0
89,0045476,65536,0,0,65536,0,0,0,0,0,0,0,0
90,0106127,65536,0,0,0,65524,12,0,0,0,0,0,0
91,0000016,65536,0,0,0,0,0,0,0,65536,0,0,0
92,0045431,65536,65536,0,0,0,0,0,0,0,0,0,0
93,0045493,65536,0,0,65536,0,0,0,0,0,0,0,0
94,0079041,65536,12,65524,0,0,0,0,0,0,0,0,0
95,0141687,65536,0,0,0,0,0,0,0,0,65536,0,0
96,0113794,65536,0,0,0,0,0,65536,0,0,0,0,0
97,0045432,65536,65536,0,0,0,0,0,0,0,0,0,0
98,0038053,65536,0,0,24,65512,0,0,0,0,0,0,0
99,0045495,65536,0,0,65536,0,0,0,0,0,0,0,0
100,0045449,65536,65536,0,0,0,0,0,0,0,0,0,0
